imdbId,Genre,umap_x,umap_y,cluster_dbscan
995857,Comedy,5.8744597,2.5720594,2
1210355,Drama|Thriller,1.5010428,2.4445534,3
383518,Drama,2.0578089,3.7440422,-1
1073498,Comedy,5.6892138,3.0751126,2
114671,Drama|War,4.0173593,1.8124498,4
2317524,Action|Adventure|Thriller,2.1641176,5.2603536,1
273719,Comedy|Romance|Drama,3.179783,1.1636149,4
433383,Biography|Drama|History,2.6511803,5.6436615,1
94407,Comedy|Romance,5.686583,3.624262,2
1267297,Action|Adventure,5.487432,4.873207,2
117894,Fantasy|Horror,4.1692815,5.5976014,5
487195,Comedy|Drama,1.9985694,2.3378026,3
354364,Drama|Fantasy|Romance,5.3369594,3.2547944,2
1606392,Comedy|Drama|Sport,5.5504327,3.3474183,2
1029231,Action|Adventure|Romance,5.9486213,3.880966,2
134983,Horror|Sci-Fi|Thriller,6.4969096,3.1418812,2
443708,Drama,1.9327265,2.8397403,3
1655441,Drama|Fantasy|Romance,4.1683903,4.5320644,2
2290151,Documentary|Music,6.1936264,5.0788836,2
458481,Action|Crime|Thriller,5.9331613,4.9765368,2
947810,Action|Drama|Thriller,5.1654634,4.3808436,2
879870,Drama|Romance,5.8307147,4.0789876,2
1845283,Drama|Mystery,2.3742023,5.4795833,1
116736,Crime|Drama|Thriller,5.5143633,4.5250273,2
1734433,Crime|Drama,3.7072537,6.262811,5
1984110,Comedy|Horror,7.2344866,3.3791873,2
466664,Biography|Comedy|Sci-Fi,6.135907,5.7090735,2
56162,Drama,5.649467,3.59098,2
109020,Drama,4.6196074,4.7077565,2
80756,Drama,2.0863938,5.658533,7
120363,Animation|Adventure|Comedy,3.2910285,0.8526385,4
160236,Comedy|Family|Romance,2.2784586,5.1290383,1
480239,Drama|Mystery|Sci-Fi,2.55125,5.0112658,1
444505,Comedy|Crime,6.2779546,3.1965234,2
129358,Horror,0.8821957,4.619989,3
3341832,Drama|Horror|Mystery,6.3096566,3.8302338,2
1817676,Comedy|Drama,0.68574005,3.1082613,3
52303,War|Drama,0.40989888,2.7838986,3
203536,Action|Comedy|Thriller,6.28132,5.409627,2
110722,Drama|Thriller,3.1647522,4.9905014,1
82640,Drama|Romance,1.0254991,4.9978375,3
307507,Action|Crime|Mystery,2.1439562,5.7851677,7
3030354,Thriller,4.282163,5.8548174,5
469913,Drama,5.971484,5.5850616,2
36706,Comedy|Crime|Mystery,1.747747,2.3754988,3
188766,Comedy|Drama|Romance,3.6163673,4.35235,2
110374,Drama|Thriller|Mystery,6.964475,3.4632852,2
80547,Drama,1.4186722,5.122777,-1
2417154,Documentary|Biography|Music,0.7861433,2.4307237,10
98184,Crime|Thriller,4.460101,2.6054485,4
878695,Comedy|Drama|Horror,3.4833083,5.333801,5
479550,Documentary,4.891324,2.5006354,2
102789,Action|Crime|Drama,5.0415397,4.3192663,2
2901736,Drama,2.8842468,1.559638,4
105417,Comedy|Crime|Family,2.1689045,1.8937137,13
99701,Action|Adventure|Horror,1.1558899,4.6792674,3
2086830,Animation|Drama|Thriller,5.814924,4.2649355,2
27690,Drama|History,2.1095371,2.5394053,3
101070,Crime|Drama|Mystery,7.0224795,4.482867,2
117768,Comedy|Adventure,3.4755673,0.8949503,4
94793,Comedy|Horror,7.363519,3.8350167,2
1139643,Documentary,7.119196,4.853848,2
1345772,Crime|Horror|Mystery,5.3086553,2.9813516,2
2114461,Comedy,3.4590423,2.5968819,4
1942884,Documentary,0.8377699,3.1495936,3
91777,Comedy|Crime,1.5692196,1.9639956,3
759509,Comedy,2.6917055,3.879978,12
402378,Comedy|Romance,6.0279512,3.7481005,2
1190722,Documentary|Comedy,4.9203563,5.4247217,-1
964587,Comedy|Family,4.952211,3.2967002,2
1521264,Documentary|Biography,2.7507768,6.3714833,9
193560,Action|Adventure|Drama,3.7501216,5.9267898,5
114666,Crime|Drama|Thriller,4.176398,5.9929585,5
181786,Documentary|War,3.7030756,2.568501,4
113205,Fantasy|Romance,1.2448107,4.732805,3
1716777,Comedy|Drama,2.7155967,2.1824648,-1
1856057,Animation|Fantasy,7.067028,4.737312,2
432972,Drama|Thriller,2.92537,1.5334333,4
1009012,Biography|Drama,4.746192,2.405466,2
209077,Drama,7.4725227,3.6521223,2
272950,Horror,1.217122,2.411912,3
64782,Comedy|Drama|Musical,2.5991175,2.7981136,3
2378587,Documentary,3.4947588,4.392299,2
4120210,Drama,2.9523451,2.8060923,3
1157705,Documentary|Crime,0.7348603,3.588472,3
1815776,Comedy|Horror,7.3657465,3.930294,2
357054,Comedy|Romance,1.6105714,3.8705735,3
